"Date","Daily.AQI.Value","Local.Site.Name","AQS.Parameter.Description","County","Site.Latitude","Site.Longitude"
2024-05-15,13,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-16,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-17,33,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-18,31,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-19,18,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-20,14,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-21,40,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-22,50,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-23,36,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-24,30,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-25,34,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-26,32,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-27,25,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
2024-05-28,23,"Board Of Ed. Bldg.","PM2.5","Buncombe",35.6062000008935,-82.5844
